make: Nothing to be done for 'build'.
Vector Length;NumGangs;Grid Size;Total Alive Cells;Total Execution Time
640;2048;128;5902;0.000106
640;2048;256;24387;0.000151
640;2048;512;98628;0.000228
640;2048;1024;397832;0.000388
640;2048;2048;1562036;0.000706
640;2048;4096;6232877;0.001346
640;2048;8192;24824799;0.002611
640;2048;16384;100584758;0.006362
640;2048;32768;402481820;0.025219
640;3072;128;5902;0.000110
640;3072;256;24387;0.000152
640;3072;512;98628;0.000230
640;3072;1024;397832;0.000388
640;3072;2048;1562036;0.000705
640;3072;4096;6232877;0.001341
640;3072;8192;24824799;0.002617
640;3072;16384;100584758;0.006313
640;3072;32768;402481820;0.024447
640;4096;128;5902;0.000112
640;4096;256;24387;0.000155
640;4096;512;98628;0.000233
640;4096;1024;397832;0.000392
640;4096;2048;1562036;0.000706
640;4096;4096;6232877;0.001346
640;4096;8192;24824799;0.002604
640;4096;16384;100584758;0.006304
640;4096;32768;402481820;0.024450
640;5120;128;5902;0.000114
640;5120;256;24387;0.000157
640;5120;512;98628;0.000238
640;5120;1024;397832;0.000394
640;5120;2048;1562036;0.000708
640;5120;4096;6232877;0.001346
640;5120;8192;24824799;0.002604
640;5120;16384;100584758;0.006312
640;5120;32768;402481820;0.024457
640;6144;128;5902;0.000116
640;6144;256;24387;0.000161
640;6144;512;98628;0.000238
640;6144;1024;397832;0.000395
640;6144;2048;1562036;0.000712
640;6144;4096;6232877;0.001350
640;6144;8192;24824799;0.002607
640;6144;16384;100584758;0.006308
640;6144;32768;402481820;0.024463
640;7168;128;5902;0.000119
640;7168;256;24387;0.000162
640;7168;512;98628;0.000239
640;7168;1024;397832;0.000399
640;7168;2048;1562036;0.000714
640;7168;4096;6232877;0.001354
640;7168;8192;24824799;0.002611
640;7168;16384;100584758;0.006308
640;7168;32768;402481820;0.024476
640;8192;128;5902;0.000122
640;8192;256;24387;0.000165
640;8192;512;98628;0.000241
640;8192;1024;397832;0.000400
640;8192;2048;1562036;0.000716
640;8192;4096;6232877;0.001354
640;8192;8192;24824799;0.002628
640;8192;16384;100584758;0.006322
640;8192;32768;402481820;0.024485
640;9216;128;5902;0.000128
640;9216;256;24387;0.000167
640;9216;512;98628;0.000244
640;9216;1024;397832;0.000404
640;9216;2048;1562036;0.000719
640;9216;4096;6232877;0.001355
640;9216;8192;24824799;0.002631
640;9216;16384;100584758;0.006327
640;9216;32768;402481820;0.024464
640;10240;128;5902;0.000129
640;10240;256;24387;0.000170
640;10240;512;98628;0.000247
640;10240;1024;397832;0.000405
640;10240;2048;1562036;0.000719
640;10240;4096;6232877;0.001357
640;10240;8192;24824799;0.002619
640;10240;16384;100584758;0.006324
640;10240;32768;402481820;0.024498
768;1024;128;5902;0.000105
768;1024;256;24387;0.000148
768;1024;512;98628;0.000226
768;1024;1024;397832;0.000386
768;1024;2048;1562036;0.000704
768;1024;4096;6232877;0.001344
768;1024;8192;24824799;0.002609
768;1024;16384;100584758;0.006361
768;1024;32768;402481820;0.025239
768;2048;128;5902;0.000108
768;2048;256;24387;0.000150
768;2048;512;98628;0.000229
768;2048;1024;397832;0.000389
768;2048;2048;1562036;0.000707
768;2048;4096;6232877;0.001346
768;2048;8192;24824799;0.002632
768;2048;16384;100584758;0.006365
768;2048;32768;402481820;0.025217
768;3072;128;5902;0.000109
768;3072;256;24387;0.000152
768;3072;512;98628;0.000230
768;3072;1024;397832;0.000389
768;3072;2048;1562036;0.000705
768;3072;4096;6232877;0.001341
768;3072;8192;24824799;0.002620
768;3072;16384;100584758;0.006301
768;3072;32768;402481820;0.024446
768;4096;128;5902;0.000120
768;4096;256;24387;0.000155
768;4096;512;98628;0.000232
768;4096;1024;397832;0.000390
768;4096;2048;1562036;0.000706
768;4096;4096;6232877;0.001343
768;4096;8192;24824799;0.002605
768;4096;16384;100584758;0.006304
768;4096;32768;402481820;0.024468
768;5120;128;5902;0.000117
768;5120;256;24387;0.000158
768;5120;512;98628;0.000235
768;5120;1024;397832;0.000393
