# Blocks, # Threads, Sync. time, Async. time
1,601,11.71,0.10
1,601,11.77,0.10
1,601,11.82,0.10
1,601,11.85,0.10
1,601,11.76,0.10
1,601,11.72,0.10
1,601,12.02,0.10
1,601,11.80,0.10
1,651,11.74,0.10
1,651,11.79,0.10
1,651,11.90,0.10
1,651,11.84,0.10
1,651,11.74,0.10
1,651,11.88,0.10
1,651,11.94,0.10
1,651,11.90,0.10
1,651,11.86,0.11
1,651,11.84,0.10
1,701,11.72,0.10
1,701,11.86,0.10
1,701,11.75,0.10
1,701,11.90,0.10
1,701,11.75,0.10
1,701,11.89,0.10
1,701,11.81,0.10
1,701,11.80,0.10
1,701,11.75,0.10
1,701,12.16,0.10
1,751,11.83,0.10
1,751,12.60,0.10
1,751,11.95,0.10
1,751,11.72,0.10
1,751,11.84,0.10
1,751,12.69,0.10
1,751,11.70,0.10
1,751,11.84,0.10
1,751,12.01,0.10
1,751,11.71,0.10
1,801,11.80,0.10
1,801,11.93,0.10
1,801,11.88,0.10
1,801,11.88,0.10
1,801,11.70,0.10
1,801,11.80,0.10
1,801,12.15,0.10
1,801,11.83,0.10
1,801,11.73,0.10
1,801,12.06,0.10
1,851,11.87,0.10
1,851,11.83,0.10
1,851,11.70,0.10
1,851,11.92,0.10
1,851,11.79,0.10
1,851,11.94,0.10
1,851,11.93,0.10
1,851,11.74,0.10
1,851,11.88,0.10
1,851,12.00,0.10
1,901,12.92,0.10
1,901,11.73,0.10
1,901,11.79,0.10
1,901,11.75,0.10
1,901,11.84,0.10
1,901,11.80,0.10
1,901,12.78,0.10
1,901,12.61,0.10
1,901,12.17,0.10
1,901,11.83,0.10
1,951,11.82,0.10
1,951,12.31,0.10
1,951,12.30,0.10
1,951,11.79,0.10
1,951,11.80,0.10
1,951,11.75,0.10
1,951,12.04,0.10
1,951,11.90,0.10
1,951,11.89,0.10
1,951,11.77,0.10
1,1001,12.06,0.10
1,1001,11.79,0.10
1,1001,11.71,0.10
1,1001,12.16,0.10
1,1001,11.92,0.10
1,1001,11.82,0.10
1,1001,12.69,0.10
1,1001,11.97,0.10
1,1001,12.60,0.10
1,1001,11.70,0.10
1001,1,11.94,0.10
1001,1,11.78,0.10
1001,1,11.82,0.10
1001,1,11.62,0.10
1001,1,11.95,0.10
1001,1,11.86,0.10
1001,1,12.60,0.10
1001,1,11.68,0.10
1001,1,11.83,0.10
1001,1,11.73,0.10
1001,51,12.63,0.10
1001,51,11.69,0.53
1001,51,11.91,0.10
1001,51,11.74,0.10
1001,51,12.01,0.10
1001,51,11.74,0.10
1001,51,11.71,0.10
1001,51,11.71,0.24
1001,51,12.00,0.10
1001,51,12.63,0.10
1001,101,11.94,0.10
1001,101,13.24,0.10
1001,101,12.12,0.10
1001,101,11.77,0.10
1001,101,11.81,0.10
1001,101,11.83,0.10
1001,101,11.95,0.10
1001,101,11.81,0.10
1001,101,11.75,0.10
1001,101,11.73,0.10
1001,151,12.87,0.10
1001,151,12.25,0.10
1001,151,11.91,0.10
1001,151,12.03,0.10
1001,151,11.81,0.10
1001,151,11.95,0.10
1001,151,12.17,0.10
1001,151,11.79,0.10
1001,151,11.80,0.10
1001,151,11.83,0.10
1001,201,12.11,0.10
1001,201,11.94,0.10
1001,201,12.83,0.10
1001,201,11.73,0.10
1001,201,12.22,0.10
1001,201,11.84,0.10
1001,201,11.86,0.10
1001,201,11.78,0.10
1001,201,11.88,0.10
1001,201,11.81,0.10
1001,251,12.61,0.10
1001,251,11.87,0.10
1001,251,12.19,0.10
1001,251,11.72,0.10
1001,251,12.74,0.10
1001,251,11.84,0.10
1001,251,11.72,0.10
1001,251,11.71,0.10
1001,251,12.01,0.10
1001,251,12.20,0.10
1001,301,12.83,0.10
1001,301,11.76,0.10
1001,301,11.99,0.10
1001,301,12.02,0.10
1001,301,11.80,0.10
1001,301,11.80,0.10
1001,301,11.91,0.10
1001,301,12.21,0.10
1001,301,11.68,0.10
1001,301,11.72,0.10
1001,351,11.82,0.10
1001,351,11.77,0.10
1001,351,12.61,0.10
1001,351,12.07,0.10
1001,351,11.72,0.10
1001,351,11.71,0.10
1001,351,11.72,0.10
1001,351,11.74,0.10
1001,351,11.77,0.10
1001,351,12.95,0.10
1001,401,12.96,0.10
1001,401,11.84,0.10
1001,401,11.73,0.10
1001,401,11.75,0.10
1001,401,12.59,0.10
1001,401,11.94,0.11
1001,401,11.83,0.10
1001,401,11.79,0.11
1001,401,11.80,0.10
1001,401,11.99,0.09
1001,451,11.98,0.10
1001,451,11.81,0.10
1001,451,11.74,0.10
1001,451,11.87,0.10
1001,451,12.01,0.10
1001,451,12.02,0.11
1001,451,11.77,0.10
1001,451,11.76,0.10
1001,451,11.94,0.10
1001,451,12.49,0.10
1001,501,11.96,0.10
1001,501,11.81,0.10
1001,501,11.80,0.11
1001,501,11.80,0.10
1001,501,12.13,0.11
1001,501,11.96,0.10
1001,501,12.34,0.10
1001,501,11.78,0.10
1001,501,11.87,0.10
1001,501,12.15,0.10
1001,551,12.03,0.11
1001,551,11.96,0.10
1001,551,11.70,0.10
1001,551,12.03,0.17
1001,551,11.93,0.10
1001,551,11.86,0.10
1001,551,11.92,0.10
1001,551,11.95,0.10
1001,551,11.81,0.10
1001,551,13.18,0.11
1001,601,11.74,0.10
1001,601,13.51,0.10
1001,601,11.87,0.10
1001,601,11.69,0.10
1001,601,11.87,0.10
